country_id,intensity_depravation_perc,vulnerable_MP_pop,health_contribution,education_contribution,living_standard_contribution,under_national_poverty_line,under_PPP_$2.15_per_day,HDI,coefficient_human_inequality,richest_10percent_share,richest_1percent_share,gini_coefficient
46,42.29846494,20.85312592,29.27810252,17.88565814,52.83623934,58.9,36.07984696,0.597,28.60195229,42.7,19.33,54.6
155,,,,,,,,0.596,,,17.59,
92,42.27647697,20.52114971,21.53676748,47.95922339,30.50400913,17.7,,0.593,19.00450602333333,,18.56,
45,42.6130318,26.33033295,23.56011569,17.27184802,59.16803479,38.3,39.75453323,0.593,22.47084979,34.8,21.08,50.3
118,55.26659938,15.54285582,21.16458565,32.0500195,46.78539336,32.3,31.12200623,0.586,30.412167566666668,39.6,25.98,51.3
122,45.89385001,21.91659511,18.49534959,32.27775097,49.22689795,24.8,1.991156727,0.585,,25.5,17.09,30.7
185,,,,,,,,0.577,,,21.24,
94,53.23500852,17.58638169,25.22385418,27.64107883,47.13506699,37.5,25.65751774,0.576,31.72993835333333,35.0,15.85,46.6
77,45.56805832,35.78677434,23.51939976,14.97171521,61.50888801,36.1,29.36510585,0.575,25.685084096666667,31.6,15.19,40.8
85,48.36230159,23.8721779,21.4951545,25.03225803,53.47259045,54.4,61.35216043,0.565,30.10964459,44.4,23.17,57.1
181,,,,,,,,0.564,,29.2,,37.1
114,48.50980772,22.2534069,20.75811625,31.61280155,47.62907922,42.4,18.64372175,0.558,43.06900853,33.7,14.15,45.3
172,46.49431078,25.25748807,4.605415463,30.05807698,65.3365016,,,0.558,28.476125356666667,31.0,16.66,41.9
167,55.95346042,12.28209007,17.6996246,42.43541658,39.86495733,31.8,6.490837303,0.556,29.02167278666667,24.9,10.75,32.6
123,51.20118911,17.57229019,19.61742342,40.40237665,39.98019993,39.5,11.448481,0.55,34.33598079666667,29.0,21.03,37.2
48,49.79685105,23.41009556,22.51205891,22.26204276,55.22589684,26.4,44.94932284,0.549,23.69202603333333,33.1,18.15,40.5
142,51.71833439,12.91958091,27.6186794,41.31446183,31.06685877,21.9,4.93244806,0.544,29.21919322333333,25.5,16.82,29.6
90,47.75466507,23.76189748,20.94850242,28.12385857,50.92763901,45.5,28.06985484,0.539,30.77372130333333,32.9,13.85,42.4
161,48.36273867,21.8481466,18.47508699,24.57196563,56.95294142,58.5,29.2,0.535,38.11928169666667,31.2,20.75,41.1
130,52.90429447,16.62318787,19.47316825,35.52998304,44.9968487,40.1,30.86329835,0.535,36.024417029999995,26.7,11.59,35.1
12,47.31474755,22.69471883,18.97775382,26.59527957,54.4269681,38.2,52.0053934,0.534,24.64764153,35.6,19.89,43.7
138,55.04205723,14.6862224,20.84377557,36.2705946,42.8856343,38.5,19.89600557,0.525,36.10987930333334,29.9,17.51,37.8
78,49.15793661,23.61028211,23.97136688,21.57689184,54.45173979,20.3,42.20772863,0.525,24.419621520000003,34.5,17.05,42.7
82,43.03043245,28.59723149,21.86907083,18.13471317,59.99621749,49.7,32.39991099,0.514,27.394297766666668,32.9,14.46,44.9
110,46.32708767,27.53231424,18.59776676,25.52707195,55.87515831,50.7,70.06059874,0.512,26.320420650000003,31.0,28.04,38.5
104,51.71152379,18.18333569,20.69770247,48.44650626,30.85578978,46.7,9.33548495,0.511,29.54915667,30.5,13.18,38.1
153,,,,,,,,0.509,,32.3,15.86,41.6
184,53.40149943,17.66052863,21.06075585,29.15109992,49.78814125,,15.26305994,0.508,33.47931715666667,27.8,15.36,34.2
51,56.40658166,15.37196339,17.82255173,31.59551919,50.58193207,70.7,80.7300579,0.501,26.85263932,33.5,15.17,42.6
119,47.47720707,28.03138153,32.70570338,33.00472796,34.28956866,48.6,17.24213359,0.5,29.271516816666665,28.7,13.61,35.9
75,53.33444853,18.35368739,14.03434873,31.46884739,54.4968009,23.5,26.98460567,0.498,25.99192684,28.5,13.82,35.0
156,,,,,,,,0.492,,,13.82,
159,52.90500665,19.95652546,19.14893389,35.00637114,45.84469795,47.7,21.66049062,0.483,36.50182102666667,27.6,17.08,34.8
39,49.55628725,23.31370775,19.7224319,28.58320177,51.69436336,50.9,27.6177479,0.481,30.66384255,27.1,12.2,35.3
140,51.33278162,17.42191021,23.13065231,19.85493898,57.01441169,63.9,69.68845629,0.479,28.68733520666667,32.0,14.63,42.1
146,48.59954828,18.13762493,10.00938267,44.98876631,45.00184953,54.5,,0.478,,,15.25,
112,49.45788565,21.26054862,22.96984047,24.05256331,52.97759771,56.8,26.06203412,0.477,34.15862985666667,29.4,15.02,35.7
137,56.36843709,16.4050466,21.35295123,38.37822974,40.26882052,43.7,13.82009952,0.465,34.33844766000001,23.1,12.53,29.6
192,50.58480016,22.28569646,28.95319164,30.4148525,40.63195586,48.6,19.80275669,0.455,31.54348443,29.4,24.71,36.7
109,,,,,,,,0.449,29.27530611,37.5,14.56,47.3
26,59.99437542,13.92129119,27.25634873,26.34540498,46.39824629,46.1,64.64085921,0.446,32.40842271,45.5,31.11,54.0
141,55.03446987,15.26012002,19.56990957,41.16678834,39.26330209,44.6,14.79144237,0.428,31.07790617,28.2,9.69,36.1
35,54.44405515,15.76125846,23.83029908,27.15485096,49.01484847,64.9,65.13289285,0.426,28.67465287,31.0,14.74,38.6
150,57.37141588,12.90205678,20.1982677,27.81202793,51.98970437,,,0.404,40.13981347666667,46.2,31.0,56.2
135,66.0956536,4.85513516,21.44081444,36.72587276,41.83331132,40.8,50.6335256,0.4,26.71059986,31.1,11.6,37.3
145,61.42103114,10.66594962,19.14565116,36.57416999,44.28018034,42.3,30.88294259,0.394,35.99797977666667,29.7,15.71,37.5
183,,,,,,,,0.385,36.25986686,33.2,15.53,44.1
169,,,,,,,,,,,,
170,,,,,,,,,,27.3,,34.8
182,,,,,,,,,,,12.44,36.8
152,,,,,,,,,,,14.76,
